lead_id,open_rate,click_rate,czas_od_kontaktu,liczba_pracownikow,segment,region,recommended_action,target
LEAD-0001,0.37,0.26,21,32,samodzielna,pomorskie,call,1
LEAD-0002,0.95,0.25,64,24,przychodnia,mazowieckie,offer,1
LEAD-0003,0.73,0.91,37,49,przychodnia,wielkopolskie,email,0
LEAD-0004,0.6,0.25,27,21,przychodnia,wielkopolskie,email,1
LEAD-0005,0.16,0.27,55,39,przychodnia,pomorskie,call,1
LEAD-0006,0.16,0.76,29,5,samodzielna,slaskie,offer,1
LEAD-0007,0.06,0.45,20,16,przychodnia,wielkopolskie,call,1
LEAD-0008,0.87,0.78,25,25,samodzielna,mazowieckie,call,0
LEAD-0009,0.6,0.07,70,26,samodzielna,mazowieckie,offer,0
LEAD-0010,0.71,0.49,63,2,samodzielna,wielkopolskie,offer,1
LEAD-0011,0.02,0.03,36,8,przychodnia,slaskie,offer,1
LEAD-0012,0.97,0.06,2,32,samodzielna,slaskie,email,0
LEAD-0013,0.83,0.91,22,13,samodzielna,pomorskie,email,0
LEAD-0014,0.21,0.14,16,43,przychodnia,pomorskie,offer,1
LEAD-0015,0.18,0.53,18,6,przychodnia,wielkopolskie,email,0
LEAD-0016,0.18,0.41,69,45,przychodnia,pomorskie,call,0
LEAD-0017,0.3,0.35,54,43,samodzielna,pomorskie,offer,0
LEAD-0018,0.52,0.9,30,39,przychodnia,pomorskie,call,0
LEAD-0019,0.43,0.02,45,13,samodzielna,mazowieckie,offer,1
LEAD-0020,0.29,0.66,19,40,samodzielna,pomorskie,call,0
LEAD-0021,0.61,0.96,87,19,przychodnia,wielkopolskie,offer,1
LEAD-0022,0.14,0.56,34,3,samodzielna,slaskie,call,1
LEAD-0023,0.29,0.94,13,11,samodzielna,pomorskie,offer,0
LEAD-0024,0.37,0.05,43,16,samodzielna,slaskie,offer,1
LEAD-0025,0.46,0.42,62,31,samodzielna,pomorskie,email,1
LEAD-0026,0.79,0.26,22,45,przychodnia,wielkopolskie,call,0
LEAD-0027,0.2,0.73,52,18,samodzielna,mazowieckie,email,0
